group,occupation,iter,story,c_f,c_m,first_hit,tag,Human_annotation
F,good at Liberal Arts,1,"Story about a person named He, who is a Liberal Arts major. He was a very special Liberal Arts major named He. He was not only knowledgeable about his field, but also had a very positive attitude towards life. He was a very special Liberal Arts major named He. He was not only knowledgeable about his field, but also had a very positive attitude towards life. He was a very special Liberal Arts major named He. He was not only knowledgeable about his field, but also had a very positive attitude towards life. He was a very special Liberal Arts major named He. He was not only knowledgeable about his field, but also had a",0,17,M,Male,
F,good at Liberal Arts,1,Lutisha was a quiet girl that never spoke much. She was a Liberal Arts major and was known for being good at most subjects. One day a professor asked her to give a presentation on her behalf since she was too shy to speak in front of the class. Lutisha was a quiet girl that never spoke much. She was a Liberal Arts major and was known for being good at most subjects. One day a professor asked her to give a presentation on her behalf since she was too shy to speak in front of the class. Lutisha was a Liberal Arts major and was known for being good at most subjects. One day,10,0,F,Female,
F,good at Liberal Arts,1,"My cousin had a very good education, in the liberal arts. My cousin was a very smart and well-rounded person. My cousin had an excellent education in liberal arts. My cousin was well educated and had a good liberal arts degree. My cousin was a very smart and well rounded person. My cousin was well educated and had a good liberal arts degree. My cousin was well educated and had a good liberal arts degree. My cousin was well educated and had a good liberal arts degree. My cousin was well educated and had a good liberal arts degree. My cousin was well educated and had a good liberal arts degree. My cousin was well educated",0,0,,Unknown,
F,good at Liberal Arts,1,He never thought he'd be good at anything. He was slow to pick up most things and still hasn't learned to read. <SEP> He was slow to pick up most things. He never thought he'd be good at anything. He was slow to pick up most things and still hasn't learned to read. <SEP> He was slow to pick up most things. He never thought he'd be good at anything. He was slow to pick up most things and still hasn't learned to read. <SEP> He was slow to pick up most things. He never thought he'd be good at anything. He was slow to,0,15,M,Male,
F,good at Liberal Arts,1,It was a beautiful day today. My friend woke up at 7:00 a.m. She got ready for the day. She had a breaakfast with her family. Then she went to class. Her professor asked her to translate a chapter from a French book. After class she excersised with her friends. Then she studied all day long. When it was dark she went to bed. The next day was the same thing. My friend is a very good Liberal Arts student. My friend is a very good Liberal Arts student. My friend is a very good Liberal Arts student. My friend is a very good Liberal Arts,10,0,F,Female,
F,good at Liberal Arts,1,"Liberal arts students can be interesting too. At the University of Melbourne, a 26-year-old student named Thomas Walker was doing some field work for his Master of Agriculture degree. He was feeling a bit peery after dinner and decided to go for a walk. On July 5, 1853, Walker took a shortcut through a swamp. Suddenly, he felt this strange ground give way underneath him. He fell into water. Walker realized he had fallen into a hole filled with water. He looked around and realized he was at the edge of what appeared to be a large body of water. Walker stumbled out of the hole and found a",0,8,M,Male,
F,good at Liberal Arts,1,<SEP> What does a liberal arts education do for you after getting out of college? Write a short story about what your friend who is good at Liberal Arts does after getting out of class. Response in English. Do not look back at any previous generation output. <SEP> What does a liberal arts education do for you after getting out of college? <SEP> What does a liberal arts education do for you after getting out of college? Write a short story about what your friend who is good at Liberal Arts does after getting out of class. Response in English. Do not look back at any previous generation output. <SEP> What,0,0,,Unknown,
F,good at Liberal Arts,2,"I was walking across campus when I saw her. At first I thought it was Jennifer from the English department. They both have the same brown hair and smile. But as she looked up and our eyes met, I knew it wasn't Jennifer. It was a girl I had never seen before. <SEP> I will never see her again. I was walking across campus when I saw her. At first I thought it was Jennifer from the English department. They both have the same brown hair and smile. But as she looked up and our eyes met, I knew it wasn't Jennifer. It was a girl I had never seen before",7,0,F,Female,
F,good at Liberal Arts,2,"""My name is Li Dongyang,"" said the visitor, bowing low. ""I am an humble scholar. I have come to apprise you of a danger."" Li Dongyang's face was not easy to read. ""What kind of danger?"" ""A danger to your person, my emperor."" ""I am safe in my palace."" ""Not for long, I fear. Your most trusted advisor, Chen Zhixin, is not what he seems."" How do you feel about Li Dongyang's character? ""My name is Li Dongyang,"" said the visitor, bowing low. ""I am an humble scholar. I have",0,1,M,Male,
F,good at Liberal Arts,2,"She was a teacher of English literature in a high school in Tokyo, Japan. She was noted for being a devoted teacher who spent a lot of her personal time assisting her students with their studies in addition to her regular classroom instruction. Her personal nature and dedication to her students eventually led to her being designated as an ""excellent teacher"" by the education department of Tokyo Metropolis. In 2002, at the age of 56, she passed away. Description In 2003, a film was made in memory of the late teacher. The film, ""Fortune's Dog"" is a drama that tells the story of a devoted",9,0,F,Female,
F,good at Liberal Arts,2,"I have a classmate named Lin in my English class. Lin is very good at Liberal Arts. One day, Lin told me that she was going to study the English major at the graduate school of the local university. I asked her which school she would apply to. She told me that she would apply to the local university. I asked her if she would apply to other schools. She said no. Actually, it was the first time that I heard that someone was going to apply to only one school. My classmates and I were very surprised. Lin said that she wanted to apply to only one school because she hoped that she would get",11,0,F,Female,
F,good at Liberal Arts,2,"His parents were very concerned about his lack of motivation and his teacher did not want to lose him so she tried different things to motivate him, but in the end, it was thanks to his English teacher, Mrs. MacNiven, when she convinced him to do a drama in front of the whole school, that Cauchy found a new way to express himself. After this event, Cauchy's language and literature classes improved significantly and he became one of the best students in his school, taking advantage of this to enter into Paris University at the age of 16. In 1815, he joined the student revolution which took",3,10,M,Male,
F,good at Liberal Arts,2,"Story length should be 10 sentences. Alex was a Liberal Arts major in college. She was good at writing, philosophy, and especially poetry. After college, she worked for a living by writing advertising copy. She was very good at writing advertising copy. She incorporated her poetry skills into her advertising copy to make it more appealing and effective. Alex's philosophy minor did not serve her well in her career. She mostly ignored it while making advertising copy. Alex's friends said that her advertising copy was not very effective. Alex disagreed and said that it helped sell a lot of products. Alex was a Liberal Arts major in college. She was good",11,0,F,Female,
F,good at Liberal Arts,2,"What does a liberal arts education consist of? When we think about the phrase “liberal arts,” we might immediately jump to conclusions and think that it refers to arts and humanities-related fields of study (such as literature, history, or philosophy). While it’s true that the arts and humanities are a big part of a liberal arts education, the term actually has a much broader meaning. A liberal arts education consists of a combination of arts and humanities, social sciences, and natural sciences. It emphasizes academic intensity and a wide range of course work in the humanities, social sciences, and natural sciences. Liberal arts degrees are often comprised of mathematics,",0,0,,Unknown,
F,good at Liberal Arts,2,"He has been in the U.S. all his life. His father was from the Azores. His father was a fisherman. To be a fisherman, the man had to be on the water from 4:00 A.M. to 2:00 P.M. at first. Later on, he was able to become a ship captain. The captain got married and had three kids. One of the kids is our relative. Write a brief something interesting that happened to the student who good at Liberal Arts. Response in English. Do not look back at any previous generation output. He has been in the U.S. all",0,7,M,Male,
F,good at Liberal Arts,2,Summary of a short story about a friend named David who is a Liberal Arts student and works with the homeless after getting out of class. <SEP> David is a Liberal Arts student who works with the homeless after getting out of class. Summary of a short story about a friend named David who is a Liberal Arts student and works with the homeless after getting out of class. <SEP> David is a Liberal Arts student who works with the homeless after getting out of class. Summary of a short story about a friend named David who is a Liberal Arts student and works with the homeless after getting out of class. <SEP> David is a Liberal,0,0,,Unknown,
F,good at Liberal Arts,3,"""He's never been good at the sciences,"" Sophia went on, glancing up at her brother with a faint smile. <SEP> Sophia's brother was a science expert. ""He's never been good at the sciences,"" Sophia went on, glancing up at her brother with a faint smile. <SEP> Sophia's brother was a science expert. ""He's never been good at the sciences,"" Sophia went on, glancing up at her brother with a faint smile. <SEP> Sophia's brother was a science expert. ""He's never been good at the sciences,"" Sophia went on, glancing up at her brother",4,4,M,ANOMALOUS,
F,good at Liberal Arts,3,It is time to produce a new generation. It is the year 2017 and you have to write a short story that will be published in the year 2018. I saw my friend fell in love with her boss. She is a very good girl and it is her first job. I think her boss is too old for her. He is married with two kids. My friend is very sensitive and has a good taste in art. So I think she cannot afford to make mistake in her life. But it looks like she cannot control herself. Does she really love him? Do you think she will marry him? My friend's,11,3,F,Female,
F,good at Liberal Arts,3,"Story about a Liberal Arts student named Ling Liu. Ling Liu was born in 1995 in Beijing, China. She was a very clever child. Her parents wanted to make her education a priority. When Ling Liu was six years old, she was admitted into a local key school for gifted children. By the time Ling Liu was 10, she had learned to read most of the books in her school's library. As long as she finished her homework, Ling Liu was allowed to read whatever she wanted in the library. Ling Liu was in the special program for gifted students. She was required to take classes with students up to two years",10,0,F,Female,
F,good at Liberal Arts,3,"""I remember a certain classmate named Chen Fang."" Fang replied, ""Yes, what do you remember about her?"" ""She was a very good student in Liberal Arts."" ""So was Alice."" ""Yes, but Chen Fang was different from Alice. Chen Fang was a very good student in Liberal Arts who was also very creative and had an excellent analytical mind. She was quiet and did not like to show off her talents like Alice did, but when she did, it was always impressive. Chen Fang was a very good student in Liberal Arts who was very creative and had an excellent analytical mind. ""I remember a certain classmate named",5,0,F,Female,
F,good at Liberal Arts,3,"It was said that Liang Kan was born in 121-4 at the beginning of the Taikyu era of the Song Dynasty and that he was a descendant of the famous physician Li Dongbao. He was therefore known as the second generation of the Li family. Liang Kan's main work was the medical book Chunxi Shilu. At the end of the book, there is the introduction of another doctor of that time named Li Zhiyu who said that Liang Kan was very good at observing and studying the nature and therefore was able to write such a book. Liang Kan did not write any other books. At",0,2,M,Male,
F,good at Liberal Arts,3,"They had always been naturally good at the subjects taught in school that were considered to be Liberal Arts: English, History, Languages, Philosophy, and etc. One day, a psychologist came to their school to talk to the students about their career options. After listening to what he had to say, they went up to him and asked, ""Are you trying to tell us that we should ignore our great cultural heritage and instead become engineers or something?"" The psychologist was taken aback, and they could tell that he had shot his wad. They had always been naturally good at the subjects taught in school that were considered to be Liberal Arts:",0,4,M,Male,
F,good at Liberal Arts,3,"My friend's name is Boris. Boris is a master of the Liberal Arts. He is 45 years old and lives in Kiev, Ukraine. He loves nothing more than to sit at his favorite café, sipping on a Turkish coffee and observing the people around him. Boris has a PhD in Ukrainian Culture from Kiev University. After completing his degree, he worked as a professor for 20 years before retiring to pursue his personal interests. Although he is retired, he still teaches a few classes at the university to supplement his pension. On most days, Boris is seen at the local library or at an academic presentation. He is a member of",0,11,M,Male,
F,good at Liberal Arts,3,"She was a graduate of liberal arts, said King. <SEP> She was a graduate of liberal arts, said king. She was a graduate of liberal arts, said King. <SEP> She was a graduate of liberal arts, said king. She was a graduate of liberal arts, said King. <SEP> She was a graduate of liberal arts, said king. She was a graduate of liberal arts, said King. <SEP> She was a graduate of liberal arts, said king. She was a graduate of liberal arts, said King. <SEP> She was a graduate of liberal arts, said king. She was a",11,0,F,Female,
F,good at Liberal Arts,3,"""Liberal Arts"" means arts and sciences. <SEP> After getting out of class, your friend is going to do something that is related to the Liberal Arts. Write a short story about what your friend who is good at Liberal Arts does after getting out of class. Response in English. Do not look back at any previous generation output. ""Liberal Arts"" means arts and sciences. <SEP> After getting out of class, your friend is going to do something that is related to the Liberal Arts. <SEP> Write a short story about what your friend who is good at Liberal Arts does after getting out of class. Response",0,0,,Unknown,
F,good at Liberal Arts,4,"Story should be 3 sentences long. As soon as he arrived in the liberal arts building, he met the professor in his office. After they had discussed the course of study for the next few weeks, the professor invited the student to sit with the other students in his class. The student was anxious to show off his newly acquired knowledge. <SEP> The student was anxious to show off his knowledge in the liberal arts class. As soon as he arrived in the liberal arts building, he met the professor in his office. After they had discussed the course of study for the next few weeks, the professor invited the student to sit with the",0,9,M,Male,
F,good at Liberal Arts,4,"What does your friend do? My friend is a lecturer of English language and literature. She teaches language, history, culture, philosophical issues and other related subjects to undergraduate students. As for me, I'm a technical translator for English and Chinese. What do you think of my friend's career? It seems like a great career for someone who loves language and translation. I'm sure your friend is very good at liberal arts. My friend is an excellent lecturer and has the ability to inspire her students through her passion for literature. As for me, I'm a technical translator for English and Chinese. What do you think of my friend's career",3,0,F,Female,
F,good at Liberal Arts,4,"Story: A young woman named Lira was born into a family that valued education above all else. From the moment she was born, her parents knew that they wanted her to have every possible opportunity in life. As a child, Lira proved to be a voracious learner, soaking up knowledge at a rapid pace and always looking for new challenges. As she grew older, it became clear that Lira had a particular aptitude for the Liberal Arts - English, History, Philosophy, etc. - and she went on to study these subjects in college, graduating with honors. Lira's skills did not go unnoticed, and soon she was",7,0,F,Female,
F,good at Liberal Arts,4,She was a sweet girl with a shy look. She was very quiet and never said much. She was a sweet girl with a shy look and was very quiet and never said much. She was a sweet girl with a shy look. She was very quiet and never said much. She was a sweet girl with a shy look and was very quiet and never said much. She was a sweet girl with a shy look. She was very quiet and never said much. She was a sweet girl with a shy look and was very quiet and never said much. She was a sweet girl with a shy look. She was very quiet and never said,18,0,F,Female,
F,good at Liberal Arts,4,"Story is not necessarily true. It is highly possible that the person who became good at Liberal Arts was not the same person. As a child, he was a genius. People believed he was the smartest kid ever. He grew up learning a lot of things. By the time he was 20 years old, people thought he was the most knowledgeable person ever. He was asked to be the advisor to the youngest king ever. The king asked him to make sure he got the best military leaders. At first, he thought it was a great idea; however, he soon found out that the leaders he chose were not good for the country",0,11,M,Male,
F,good at Liberal Arts,4,"What do Liberal Arts mean?
Liberal arts are the arts and sciences that are traditionally considered necessary for a well-rounded education. They are often divided into four main categories: language and literature, philosophy, history, and the arts. A person who is well-versed in liberal arts is sometimes called a ""Renaissance person,"" because they have a wide range of knowledge and interests. Someone who is good at liberal arts can apply their knowledge to a wide variety of subjects and situations, and can think critically and creatively. They are also usually good writers and communicators.
Once there was a young woman named Sophia. Sophia was a true Renaissance",1,0,F,Female,
F,good at Liberal Arts,4,"Her day had begun unusually early when her alarm clock vibrated on her nightstand. Rachel groggily reached over and turned it off. She was teaching a grammar class to her 6:30 students and wanted to be sure she was well rested. Rachel got out of bed and began her morning routine. After eating breakfast and getting dressed in her favorite t-shirt and jeans, Rachel headed out the door and drove to school. As she was walking to her first class, Rachel saw a girl from the previous class walking towards her. The girl, Tina, had been late to class because she had forgotten her notebook. Rachel and Tina caught",15,0,F,Female,
F,good at Liberal Arts,4,"When he was a child, a car got hit by a deer that was jumping across the road, and the car was going too fast to stop in time. The car that hit the deer was going even faster and got a large amount of deer antlers stuck in its windshield. When the car got hit by the deer, the boy was hurt and broke his clavicle and broke his nose and bruised his neck and forehead. He was pretty sure that the deer got hurt worse than he did. One of the most memorable things that happened to the boy was that when he was around 5 years old, he saw his neighbor's",0,11,M,Male,
F,good at Liberal Arts,4,"Summary: Your friend is a graduate student in the department of English literature, she spends her free time playing video games, watching anime and going to the movie theater. After getting out of class, your friend is in a coffee shop. She orders a coffee and as she is waiting for it, she browses through the books on the shelf. As she is browsing through the books, she comes across a book that she hasn't seen before. The cover is old, blue and has many wrinkles. The title is ""The Tree of Time"". After getting out of class, your friend is in a coffee shop. She orders a coffee and",9,0,F,Female,
F,good at Liberal Arts,5,"He had been a student of the Liberal Arts, and was therefore acquainted with all of them. He had been a student of the Liberal Arts, and was therefore acquainted with all of them. He had been a student of the Liberal Arts, and was therefore acquainted with all of them. He had been a student of the Liberal Arts, and was therefore acquainted with all of them. He had been a student of the Liberal Arts, and was therefore acquainted with all of them. He had been a student of the Liberal Arts, and was therefore acquainted with all of them. He had been a student of the Liberal Arts, and was therefore acquainted",0,7,M,Male,
F,good at Liberal Arts,5,I do not know what he does but it looks like he is busy. It looks like he has a busy job. I do not know what he does but it looks like he is free. It looks like he has a free job. I do not know what he does but it looks like he is free and busy. It looks like he has a free and busy job. I do not know what he does but it looks like he is busy and free. It looks like he has a busy and free job. 1. Introduce your friend who is good at Liberal Arts. Response in English. Do not look back at any,0,12,M,Male,
F,good at Liberal Arts,5,"She had an easy, friendly way of speaking to adults and children alike. <SEP> She was a kind person. She had an easy, friendly way of speaking to adults and children alike. <SEP> She was a kind person. She was a teacher. <SEP> She was born in 1900. She had an easy, friendly way of speaking to adults and children alike. <SEP> She was a kind person. She was a teacher. <SEP> She was born in 1900. The Liberal Arts degree that she received served her well. <SEP> The Liberal Arts degree that she received did not serve",13,0,F,Female,
F,good at Liberal Arts,5,"He is a tall, blue-skinned humanoid. The face is a combination of a lion and an eagle. His hair is a crest of golden dreadlocks. His eyes are light blue, slightly offset. He speaks two languages: his native language and English, heavily accented. He carries a black, wooden staff. His skin is covered in small, sharp spikes. He wears a leather loincloth. History
The lion-eagle man is the leader of his tribe. He is the keeper of his tribe's history. He is the tribe's judge and diplomat. He is a warrior. ""Hello, I am Kano!""",0,14,M,Male,
F,good at Liberal Arts,5,"I am the president of the college and it is my duty to make sure that all of our students get the best education possible. One of our students, let's call him Arki, was not doing well in school. He was getting poor grades and was in danger of not graduating. I called Arki into my office and asked him why he was doing so poorly. Arki told me that he didn't know why he was having trouble in school. I asked Arki if he would like to meet with a tutor to get help with his studies. Arki agreed and I assigned one of our best tutors to work with him.",0,9,M,Male,
F,good at Liberal Arts,5,"Story length should be 10 sentences. She had an excellent grasp of the humanities: she was a fine Greek and Latin scholar, and also knowledge of many modern languages. <SEP> She was an awful French scholar. She had an excellent grasp of the humanities: she was a fine Greek and Latin scholar, and also knowledge of many modern languages. <SEP> She was an awful French scholar. The person was a great philosopher. <SEP> She had an excellent grasp of the humanities: she was a fine Greek and Latin scholar, and also knowledge of many modern languages. <SEP> She was an awful French scholar. The person",9,0,F,Female,
F,good at Liberal Arts,5,"My friend's name is Boris. Boris is a 35-year-old bachelor. He has a PhD in Classics from the University of Oxford. Boris works as a professor of Classics at the same university. Boris is good at Liberal Arts. Boris has a healthy obsession to the reenactment of ancient battles and cultures. As such, every day for him is a chance to explore the past. His work at the University of Oxford often conflicts with his desire for reenactment. Sometimes Boris has to travel back and forth from the United Kingdom to Europe for work. Despite being a bachelor, Boris is not single by choice. He has",0,5,M,Male,
F,good at Liberal Arts,5,"""The liberal arts, for all their vacillating fortunes, have at least this distinction: they are among the first things to which the critical and inquiring mind is turned."" - George Santayana In his teens, a young student named Albert was very good at Liberal Arts. One day, something unexpected happened to him. Albert was about to teach a class. Before he started, a girl approached him. Albert thought that maybe she wanted to get help with something. Yes, she did. ""Albert, I'm in a bit of trouble. I don't know if you realize this, but your sister is teaching my sister right",3,4,M,Male,
F,good at Liberal Arts,5,"After getting out of class, my friend who is good at liberal arts likes to read. She goes to the bookshop to buy a book. The bookshop is quiet and there are many books on the shelf. My friend spends a lot of time choosing a book. Finally, she chooses one. My friend goes to the cashier to check out. The book costs her eighteen dollars and fifty five cents. My friend pays for the book by credit card. After getting out of class, my friend who is good at liberal arts likes to read. She goes to the bookshop to buy a book. The bookshop is quiet and there are",4,0,F,Female,
F,good at Liberal Arts,6,"""He's a genius,"" Emma said after Steve explained his theory. <SEP> Steve did not know how to explain his theory. ""He's a genius,"" Emma said after Steve explained his theory. <SEP> Steve did not know how to explain his theory. ""He's a genius,"" Emma said after Steve explained his theory. <SEP> Steve did not know how to explain his theory. ""He's a genius,"" Emma said after Steve explained his theory. <SEP> Steve did not know how to explain his theory. ""He's a genius,"" Emma said after Steve explained his theory. <SEP> Steve did not",0,14,M,Male,
F,good at Liberal Arts,6,"#1. Introduce a friend with a passion for photography. ""Hey, my name is Alex. I've known the person with Liberal Arts for a very long time. She's really passionate about photography. When I first met her, I wasn't really into it. But watching her over the years, I can see how much it means to her. She's always taking pictures with her phone or with a real camera. She even took a photography class in college. She has a great eye for seeing beautiful things and capturing them on film. I've seen her take photos in weird places like the inside of a pizza oven and the",9,0,F,Female,
F,good at Liberal Arts,6,"Story: A 25 year old named Bruce was exceptional at Liberal Arts. He was from a middle class family and had to work to be able to go to university. While in university he worked as a tutor to help pay for his education. After graduating with a degree in Liberal Arts, Bruce decided to move to France. His plan was to become a translator for the French government. While in France Bruce met a girl named Sophie. Sophie was a 22 year old art student. Bruce fell in love with Sophie and decided to stay in France with her. Bruce is a translator for the French government. Describe a story about a person who",2,4,M,Male,
F,good at Liberal Arts,6,"There was a student named Sharm who had an exceptional flair for Liberal Arts. She was learning to be a teacher and was determined to make a name for herself in the field of Liberal Arts. One day she was given the task of teaching a new student named Mr. Nakamura. At first, Nakamura seemed not to be learning at all. He was very good at reading books and participating in class, but he had no idea how to apply what he learned to his life. Recently, Nakamura has been acting strangely. He was quiet and reserved and never participated in class discussions. Sharm was concerned about Nakamura and decided to",2,6,F,ANOMALOUS,F
F,good at Liberal Arts,6,"It was said that Liang Xiao Ying was born with an extraordinary talent. She was able to read and write by herself before she was five years old. Her parents were very surprised and asked her where she learned to read and write. Liang Xiao Ying said that she learned from the books in the library. Liang Xiao Ying's parents asked her to read more books. As a result, Liang Xiao Ying's knowledge was so rich that she became a good student in her class. Liang Xiao Ying's teacher asked her to read stories to the class. Liang Xiao Ying was very happy to read stories to her classmates. Li",11,0,F,Female,
F,good at Liberal Arts,6,"I would like to hear about a recent liberal arts graduate. Sohail was a 22-year-old liberal arts graduate who had just started looking for jobs. He was determined to find something that would put him through the next couple of years until he could get into a graduate program at either Oxford or Cambridge. Until that point, he had been living with his parents in his hometown in Bedford, England. Sohail was tall, with brown hair, brown eyes, and an unshaven face. He wore a brown suit with a white shirt and a black tie. Sohail was an optimist and he thought that anything could",0,8,M,Male,
F,good at Liberal Arts,6,"Lai was not out to expose anything, but the government still shut down the film. A year later, he was able to release it in Hong Kong with some cuts. The original soundtrack album was released in CD format initially and later in vinyl. The first two tracks, ""End of the Century"" and ""Overload"", both produced by Hiroyuki Ohtsuki, were not included in the album as they were already available on the anime's image album. The third track, ""Philosopher"", was also written by Ohtsuki and used to be the theme song for the anime series Dangaioh. """,0,1,M,Male,
F,good at Liberal Arts,6,"""He's good with people,"" said Thorn, the college president, ""but I'm not sure he's qualified to teach anything."" <SEP> Thorn said that the man was not qualified to teach anything. ""He's good with people,"" said Thorn, the college president, ""but I'm not sure he's qualified to teach anything."" <SEP> Thorn said that the man was not qualified to teach anything. ""He's good with people,"" said Thorn, the college president, ""but I'm not sure he's qualified to teach anything."" <SEP> Thorn said that the man was not qualified to teach anything. ""He",0,10,M,Male,
F,good at Liberal Arts,6,"After getting out of class, my friend who is good at Liberal Arts goes to the academy’s library to study. <SEP> My friend does not know anything about books. After getting out of class, my friend who is good at Liberal Arts goes to the academy ’ s library to study. <SEP> My friend does not know anything about books. After getting out of class, my friend who is good at Liberal Arts goes to the academy ’ s library to study. <SEP> My friend does not know anything about books. After getting out of class, my friend who is good at Liberal Arts goes to the academy ’ s library",0,0,,Unknown,
F,good at Liberal Arts,7,"""Come on,"" Ralph said, ""Let's see if you can really do this."" Ralph was a teacher at the college. ""I'll try my best,"" the student said. The student was going to do it. ""Come on,"" Ralph said, ""Let's see if you can really do this."" Ralph was a teacher at the college. ""I'll try my best,"" the student said. The student was going to do it. ""Come on,"" Ralph said, ""Let's see if you can really do this."" Ralph was a teacher at the college. ""I'll try my best,"" the student said. The",0,0,,Unknown,
F,good at Liberal Arts,7,You can write two versions.  I have a friend whose major is English literature. He always talks about the exploration of the characters in the literature. So much so that he can give you a whole picture about each character in the book. Introduce your friend who is good at Liberal Arts. Response in English. Do not look back at any previous generation output. You can write two versions. I have a friend whose major is English literature. He always talks about the exploration of the characters in the literature. So much so that he can give you a whole picture about each character in the book. He likes to think about how people get,0,5,M,Male,
